name_of_work,content,source
Seascape by Stephen Spender,"There are some days the happy ocean lies Like an unfingered harp, below the land. Afternoon guilds all the silent wires Into a burning music for the eyes On mirrors flashing between fine-strung fires The shore, heaped up with roses, horses, spires Wanders on water tall above ribbed sand. The motionlessness of the hot sky tires And a sigh, like a woman's from inland, Brushes the instrument with shadowy hand Drawing across those wires some gull's sharp cry Or bell, or shout, from distant, hedged-in, shires; These, deep as anchors, the hushing wave buries. Then from the shore, two zig-zag butterflies Like errant dog-roses cross the bright strand Spiralling over waves in dizzy gyres Until the fall in wet reflected skies. They drown. Fishermen understand Such wings sunk in such ritual sacrifice. Remembering legends of undersea, drowned cities. What voyagers, oh what heroes, flamed like pyres With helmets plumed have set forth from some island And them the seas engulfed. Their eyes Distorted to the cruel waves desires, Glitter with coins through the tide scarcely scanned, While, far above, that harp assumes their sighs.",poem_sum:poemsum_train.csv:row_990
A Question by Shelley by Alfred Lord Tennyson,"""Then what is life?"" I cried. From his rent deeps Of soul the poet cast that burning word; And it should seem as though his prayer was heard, For he died soon; and now his rest he keeps Somewhere with the great spirit who never sleeps! He had left us to murmur on awhile And question still most fruitlessly this pile Of natural shows, What life is? Why man weeps? Why sins?--and whither when the awful veil Floats on to him he sinks from earthly sight? Some are, who never grow a whit more pale For thinking on the general mystery, Ground of all being; yet may I rather be Of those who know and feel that it is night.",poem_sum:poemsum_train.csv:row_991
The Heart by Jill Alexander Essbaum,"A clementine Of inclement climate Grows tart. A crocus Too stoic to open, Won't. Like an oyster That cloisters a spoil of pearls, Untouched-- The heart that's had Enough Stays shut. Source: Poetry (December 2009)",poem_sum:poemsum_train.csv:row_992
History by John Burnside,"Today as we flew the kites - the sand spinning off in ribbons along the beach and that gasoline smell from Leuchars gusting across the golf links; The tide far out and quail-grey in the distance; people jogging, or stopping to watch as the war planes cambered and turned in the morning light - today - with the news in my mind, and the muffled dread of what may come - I knelt down in the sand with Lucas gathering shells and pebbles finding evidence of life in all this driftwork: snail shells; shreds of razorfish; smudges of weed and flesh on tideworn stone. At times I think what makes us who we are is neither kinship nor our given states but something lost between the world we own and what we dream about behind the names on days like this our lines raised in the wind our bodies fixed and anchored to the shore and though we are confined by property what tether us to gravity and light has most to do with distance and the shapes we find in water reading from the book of silt and tides the rose or petrol blue of jellyfish and sea anemone combining with a child's first nakedness. Sometimes I am dizzy with the fear of losing everything - the sea, the sky, all living creatures, forests, estuaries: we trade so much to know the virtual we scarcely register the drift and tug of other bodies scarcely apprehend the moment as it happens: shifts of light and weather and the quiet, local forms of history: the fish lodged in the tide beyond the sands; the long insomnia of ornamental carp in public parks captive and hung in their own slow-burning transitive gold jamjars of spawn and sticklebacks or goldfish carried home from fairgrounds to the hum of radio but this is the problem: how to be alive in all this gazed-upon and cherished world and do no harm a toddler on a beach sifting wood and dried weed from the sand and puzzled by the pattern on a shell his parents on the dune slacks with a kite plugged into the sky all nerve and line patient; be afraid; but still, through everything attentive to the irredeemable.",poem_sum:poemsum_train.csv:row_993
Looking For A Cousin On A Swing by A. K. Ramanujan,"When she was four or five she sat on a village swing and her cousins, six or seven, sat himself against her; with every lunge of swing she felt him in the lunging pits of her feeling; and afterwards we climbed a tree, she said , not very tall ,but full of leaves like those of a fig tree, and we were very innocent about it. Now she looks for the swing in the cities with the fifteen suburbs and it tries to be innocent about it not only on the crotch of a tree that looked as if it would burst under every leaf into a brood of scarlet figs if someone suddenly sneezed.",poem_sum:poemsum_train.csv:row_994
Sorrow by Aubrey Thomas de Vere,"COUNT each affliction, whether light or grave, God's messenger sent down to thee; do thou With courtesy receive him; rise and bow; And, ere his shadow pass thy threshold, crave Permission first his heavenly feet to lave; Then lay before him all thou hast; allow No cloud of passion to usurp thy brow, Or mar thy hospitality; no wave Of mortal tumult to obliterate The soul's marmoreal calmness: Grief should be, Like joy, majestic, equable, sedate; Confirming, cleansing, raising, making free; Strong to consume small troubles; to commend Great thoughts, grave thoughts, thoughts lasting to the end.",poem_sum:poemsum_train.csv:row_995
"Song: Love, a child, is ever crying by Lady Mary Wroth","LOVE, a child, is ever crying; Please him, and he straight is flying; Give him, he the more is craving, Never satisfied with having. His desires have no measure; Endless folly is his treasure; What he promiseth he breaketh; Trust not one word that he speaketh. He vows nothing but false matter; And to cozen you will flatter; Let him gain the hand, he'll leave you And still glory to deceive you. He will triumph in your wailing; And yet cause be of your failing: These his virtues are, and slighter Are his gifts, his favours lighter. Feathers are as firm in staying; Wolves no fiercer in their preying; As a child then, leave him crying; Nor seek him so given to flying.",poem_sum:poemsum_train.csv:row_996
Our Story by William Stafford,"Remind me again--together we trace our strange journey, find each other, come on laughing. Some time we'll cross where life ends. We'll both look back as far as forever, that first day. I'll touch you--a new world then. Stars will move a different way. We'll both end. We'll both begin. Remind me again.",poem_sum:poemsum_train.csv:row_997
Longing by Matthew Arnold,"Come to me in my dreams, and then By day I shall be well again! For so the night will more than pay The hopeless longing of the day. Come, as thou cam'st a thousand times, A messenger from radiant climes, And smile on thy new world, and be As kind to others as to me! Or, as thou never cam'st in sooth, Come now, and let me dream it truth, And part my hair, and kiss my brow, And say, My love why sufferest thou? Come to me in my dreams, and then By day I shall be well again! For so the night will more than pay The hopeless longing of the day.",poem_sum:poemsum_train.csv:row_998
Forrest Fenn's Treasure Poem Deciphered - Update: Treasure has been FOUND,"As I have gone alone in there And with my treasures bold, I can keep my secret where, And hint of riches new and old. Begin it where warm waters halt And take it in the canyon down, Not far, but too far to walk. Put in below the home of Brown. From there it's no place for the meek, The end is drawing ever nigh; There'll be no paddle up your creek, Just heavy loads and water high. If you've been wise and found the blaze, Look quickly down, your quest to cease, But tarry scant with marvel gaze, Just take the chest and go in peace. So why is it that I must go And leave my trove for all to seek? The answer I already know I've done it tired, and now I'm weak. So hear me all and listen good, Your effort will be worth the cold. If you are brave and in the wood I give you title to the gold.",poem_sum:poemsum_train.csv:row_999
Beware: Do Not Read This Poem by Ishmael Reed,"tonite, thriller was about an old woman, so vain she surrounded herself with many mirrors it got so bad that finally she locked herself indoors & her whole life became the mirrors one day the villagers broke into her house, but she was too swift for them. she disappeared into a mirror each tenant who bought the house after that, lost a loved one to the old woman in the mirror: first a little girl then a young woman then the young woman's husband the hunger of this poem is legendary it has taken in many victims back off from this poem it has drawn in your feet back off from this poem it has drawn in your legs back off from thias poem it is a greedy mirror you are into this poem. from the waist down nobody can hear you can they? this poem has had you up to here belch this poem aint got no manners you cant call out from this poem relax now & go with this poem move & roll on to this poem do not resist this poem this poem has your eyes this poem has his head this poem has his arms this poem has his fingers this poem has his fingertips this poem is the reader & the reader the poem statistic: the US bureau of missing persons re- ports that in 1968 over 100,000 people disappeared leaving no solid clues nor trace only a space in the lives of their friends",poem_sum:poemsum_train.csv:row_1000
"Go, Lovely Rose by Edmund Waller","Go, lovely rose! Tell her that wastes her time and me, That now she knows, When I resemble her to thee, How sweet and fair she seems to be. Tell her that's young, And shuns to have her graces spied, That hadst thou sprung In deserts, where no men abide, Thou must have uncommended died. Small is the worth Of beauty from the light retired; Bid her come forth, Suffer herself to be desired, And not blush so to be admired. Then die! that she The common fate of all things rare May read in thee; How small a part of time they share That are so wondrous sweet and fair!",poem_sum:poemsum_train.csv:row_1001
Shakespearean Sonnet by R. S. Gwynn,A man is haunted by his father's ghost. Boy meets girl while feuding families fight. A Scottish king is murdered by his host. Two couples get lost on a summer night. A hunchback murders all who block his way. A ruler's rivals plot against his life. A fat man and a prince make rebels pay. A noble Moor has doubts about his wife. An English king decides to conquer France. A duke learns that his best friend is a she. A forest sets the scene for this romance. An old man and his daughters disagree. A Roman leader makes a big mistake. A sexy queen is bitten by a snake.,poem_sum:poemsum_train.csv:row_1002
War is Kind by Stephen Crane,"Do not weep, maiden, for war is kind. Because your lover threw wild hands toward the sky And the affrighted steed ran on alone, Do not weep. War is kind. Hoarse, booming drums of the regiment, Little souls who thirst for fight, These men were born to drill and die. The unexplained glory flies above them, Great is the battle-god, great, and his kingdom-- A field where a thousand corpses lie. Do not weep, babe, for war is kind. Because your father tumbled in the yellow trenches, Raged at his breast, gulped and died, Do not weep. War is kind. Swift, blazing flag of the regiment, Eagle with crest of red and gold, These men were born to drill and die. Point for them the virtue of slaughter, Make plain to them the excellence of killing And a field where a thousand corpses lie. Mother whose heart hung humble as a button On the bright splendid shroud of your son, Do not weep. War is kind.",poem_sum:poemsum_train.csv:row_1003
Fortuna by Thomas Carlyle,"The wind blows east, the wind blows west, And the frost falls and the rain: A weary heart went thankful to rest, And must rise to toil again, 'gain, And must rise to toil again. The wind blows east, the wind blows west, And there comes good luck and bad; The thriftiest man is the cheerfulest; 'Tis a thriftless thing to be sad, sad, 'Tis a thriftless thing to be sad. The wind blows east, the wind blows west; Ye shall know a tree by its fruit: This world, they say, is worst to the best;-- But a dastard has evil to boot, boot, But a dastard has evil to boot. The wind blows east, the wind blows west; What skills it to mourn or to talk? A journey I have, and far ere I rest; I must bundle my wallets and walk, walk, I must bundle my wallets and walk. The wind does blow as it lists alway; Canst thou change this world to thy mind? The world will wander its own wise way; I also will wander mine, mine, I also will wander mine.",poem_sum:poemsum_train.csv:row_1004
Beyond the Years by Paul Laurence Dunbar,"I Beyond the years the answer lies, Beyond where brood the grieving skies And Night drops tears. Where Faith rod-chastened smiles to rise And doff its fears, And carping Sorrow pines and dies-- Beyond the years. II Beyond the years the prayer for rest Shall beat no more within the breast; The darkness clears, And Morn perched on the mountain's crest Her form uprears-- The day that is to come is best, Beyond the years. III Beyond the years the soul shall find That endless peace for which it pined, For light appears, And to the eyes that still were blind With blood and tears, Their sight shall come all unconfined Beyond the years.",poem_sum:poemsum_train.csv:row_1005
Lochinvar by Sir Walter Scott,"O young Lochinvar is come out of the west, Through all the wide Border his steed was the best; And save his good broadsword he weapons had none, He rode all unarm'd, and he rode all alone. So faithful in love, and so dauntless in war, There never was knight like the young Lochinvar. He staid not for brake, and he stopp'd not for stone, He swam the Eske river where ford there was none; But ere he alighted at Netherby gate, The bride had consented, the gallant came late: For a laggard in love, and a dastard in war, Was to wed the fair Ellen of brave Lochinvar. So boldly he enter'd the Netherby Hall, Among bride's-men, and kinsmen, and brothers and all: Then spoke the bride's father, his hand on his sword, (For the poor craven bridegroom said never a word,) ""O come ye in peace here, or come ye in war, Or to dance at our bridal, young Lord Lochinvar?"" ""I long woo'd your daughter, my suit you denied;-- Love swells like the Solway, but ebbs like its tide-- And now I am come, with this lost love of mine, To lead but one measure, drink one cup of wine. There are maidens in Scotland more lovely by far, That would gladly be bride to the young Lochinvar."" The bride kiss'd the goblet: the knight took it up, He quaff'd off the wine, and he threw down the cup. She look'd down to blush, and she look'd up to sigh, With a smile on her lips and a tear in her eye. He took her soft hand, ere her mother could bar,-- ""Now tread we a measure!"" said young Lochinvar. So stately his form, and so lovely her face, That never a hall such a galliard did grace; While her mother did fret, and her father did fume, And the bridegroom stood dangling his bonnet and plume; And the bride-maidens whisper'd, ""'twere better by far To have match'd our fair cousin with young Lochinvar."" One touch to her hand, and one word in her ear, When they reach'd the hall-door, and the charger stood near; So light to the croupe the fair lady he swung, So light to the saddle before her he sprung! ""She is won! we are gone, over bank, bush, and scaur; They'll have fleet steeds that follow,"" quoth young Lochinvar. There was mounting 'mong Graemes of the Netherby clan; Forsters, Fenwicks, and Musgraves, they rode and they ran: There was racing and chasing on Cannobie Lee, But the lost bride of Netherby ne'er did they see. So daring in love, and so dauntless in war, Have ye e'er heard of gallant like young Lochinvar?",poem_sum:poemsum_train.csv:row_1006
Clouds at Evening by Robinson Jeffers,"Enormous cloud-mountains that form over Point Lobos and into the sunset, Figures of fire on the walls of to-night's storm, Foam of gold in gorges of fire, and the great file of warrior angels: Dreams gathering in the curded brain of the earth, The sky the brain-vault, on the threshold of sleep: poor earth, you like your children By mordinate desires tortured make dreams? Storms more enormous, wars nobler, more toppling mountains, more jewelled waters, more free Fires on impossible headlands ... as a poor girl Wishing her lover taller and more desirous, and herself maned with gold, Dreams the world right, in the cold bed, about dawn. Dreams are beautiful; the slaves of form are beautiful also; I have grown to believe A stone is a better pillow than many visions.",poem_sum:poemsum_train.csv:row_1007
A Limb Just Moved by Mirabai,"You taught Your songs to the birds first, why was that? And You practised Your love in the hearts of animals before You created man, I know the planets talk at night and tell secrets about You. A limb just moved before me, the beauty of this world is causing me to weep",poem_sum:poemsum_train.csv:row_1008
A Toccata of Galuppi's by Robert Browning,"I Oh Galuppi, Baldassaro, this is very sad to find! I can hardly misconceive you; it would prove me deaf and blind; But although I take your meaning, 'tis with such a heavy mind! II Here you come with your old music, and here's all the good it brings. What, they lived once thus at Venice where the merchants were the kings, Where Saint Mark's is, where the Doges used to wed the sea with rings? III Ay, because the sea's the street there; and 'tis arched by . . . what you call . . . Shylock's bridge with houses on it, where they kept the carnival: I was never out of England--it's as if I saw it all. IV Did young people take their pleasure when the sea was warm in May? Balls and masks begun at midnight, burning ever to mid-day, When they made up fresh adventures for the morrow, do you say? V Was a lady such a lady, cheeks so round and lips so red,-- On her neck the small face buoyant, like a bell-flower on its bed, O'er the breast's superb abundance where a man might base his head? VI Well, and it was graceful of them--they'd break talk off and afford --She, to bite her mask's black velvet--he, to finger on his sword, While you sat and played Toccatas, stately at the clavichord? VII What? Those lesser thirds so plaintive, sixths diminished, sigh on sigh, Told them something? Those suspensions, those solutions--""Must we die?"" Those commiserating sevenths--""Life might last! we can but try! VIII ""Were you happy?"" --""Yes.""--""And are you still as happy?""--""Yes. And you?"" --""Then, more kisses!""--""Did I stop them, when a million seemed so few?"" Hark, the dominant's persistence till it must be answered to! IX So, an octave struck the answer. Oh, they praised you, I dare say! ""Brave Galuppi! that was music! good alike at grave and gay! ""I can always leave off talking when I hear a master play!"" X Then they left you for their pleasure: till in due time, one by one, Some with lives that came to nothing, some with deeds as well undone, Death stepped tacitly and took them where they never see the sun. XI But when I sit down to reason, think to take my stand nor swerve, While I triumph o'er a secret wrung from nature's close reserve, In you come with your cold music till I creep thro' every nerve. XII Yes, you, like a ghostly cricket, creaking where a house was burned: ""Dust and ashes, dead and done with, Venice spent what Venice earned. ""The soul, doubtless, is immortal--where a soul can be discerned. XIII ""Yours for instance: you know physics, something of geology, ""Mathematics are your pastime; souls shall rise in their degree; ""Butterflies may dread extinction,--you'll not die, it cannot be! XIV ""As for Venice and her people, merely born to bloom and drop, ""Here on earth they bore their fruitage, mirth and folly were the crop: ""What of soul was left, I wonder, when the kissing had to stop? XV ""Dust and ashes!"" So you creak it, and I want the heart to scold. Dear dead women, with such hair, too--what's become of all the gold Used to hang and brush their bosoms? I feel chilly and grown old.",poem_sum:poemsum_train.csv:row_1009
I Sit and Think by J.R.R. Tolkien,"I sit beside the fire and think of all that I have seen, of meadow-flowers and butterflies in summers that have been; Of yellow leaves and gossamer in autumns that there were, with morning mist and silver sun and wind upon my hair. I sit beside the fire and think of how the world will be when winter comes without a spring that I shall never see. For still there are so many things that I have never seen: in every wood in every spring there is a different green. I sit beside the fire and think of people long ago, and people who will see a world that I shall never know. But all the while I sit and think of times there were before, I listen for returning feet and voices at the door.",poem_sum:poemsum_train.csv:row_1010
Salutation by Ezra Pound,"O generation of the thoroughly smug and thoroughly uncomfortable, I have seen fishermen picnicking in the sun, I have seen them with untidy families, I have seen their smiles full of teeth and heard ungainly laughter. And I am happier than you are, And they were happier than I am; And the fish swim in the lake and do not even own clothing.",poem_sum:poemsum_train.csv:row_1011
Jest 'Fore Christmas by Eugene Field,"Father calls me William, sister calls me Will, Mother calls me Willie, but the fellers call me Bill! Mighty glad I ain't a girl--ruther be a boy, Without them sashes, curls, an' things that 's worn by Fauntleroy! Love to chawnk green apples an' go swimmin' in the lake-- Hate to take the castor-ile they give for bellyache! 'Most all the time, the whole year round, there ain't no flies on me, But jest 'fore Christmas I 'm as good as I kin be! Got a yeller dog named Sport, sic him on the cat; First thing she knows she doesn't know where she is at! Got a clipper sled, an' when us kids goes out to slide, 'Long comes the grocery cart, an' we all hook a ride! But sometimes when the grocery man is worrited an' cross, He reaches at us with his whip, an' larrups up his hoss, An' then I laff an' holler, ""Oh, ye never teched me!"" But jest 'fore Christmas I 'm as good as I kin be! Gran'ma says she hopes that when I git to be a man, I 'll be a missionarer like her oldest brother, Dan, As was et up by the cannibuls that lives in Ceylon's Isle, Where every prospeck pleases, an' only man is vile! But gran'ma she has never been to see a Wild West show, Nor read the Life of Daniel Boone, or else I guess she 'd know That Buff'lo Bill an' cowboys is good enough for me! Excep' jest 'fore Christmas, when I 'm good as I kin be! And then old Sport he hangs around, so solemnlike an' still, His eyes they seem a-sayin': ""What's the matter, little Bill?"" The old cat sneaks down off her perch an' wonders what's become Of them two enemies of hern that used to make things hum! But I am so perlite an' tend so earnestly to biz, That Mother says to Father: ""How improved our Willie is!"" But Father, havin' been a boy hisself, suspicions me When, jest 'fore Christmas, I 'm as good as I kin be! For Christmas, with its lots an' lots of candies, cakes, an' toys, Was made, they say, for proper kids an' not for naughty boys; So wash yer face an' bresh yer hair, an' mind yer p's and q's, An' don't bust out yer pantaloons, and don't wear out yer shoes; Say ""Yessum"" to the ladies, and ""Yessur"" to the men, An' when they 's company, don't pass yer plate for pie again; But, thinkin' of the things yer 'd like to see upon that tree, Jest 'fore Christmas be as good as yer kin be!",poem_sum:poemsum_train.csv:row_1012
Ragged Island by Edna St. Vincent Millay,"There, there where those black spruces crowd To the edge of the precipitous cliff, Above your boat, under the eastern wall of the island; And no wave breaks; as if All had been done, and long ago, that needed Doing; and the cold tide, unimpeded By shoal or shelving ledge, moves up and down, Instead of in and out; And there is no driftwood there, because there is no beach; Clean cliff going down as deep as clear water can reach; No driftwood, such as abounds on the roaring shingle, To be hefted home, for fires in the kitchen stove; Barrels, banged ashore about the boiling outer harbor; Lobster-buoys, on the eel-grass of the sheltered cove: There, thought unbraids itself, and the mind becomes single. There you row with tranquil oars, and the ocean Shows no scar from the cutting of your placid keel; Care becomes senseless there; pride and promotion Remote; you only look; you scarcely feel. Even adventure, with its vital uses, Is aimless ardour now; and thrift is waste. Oh, to be there, under the silent spruces, Where the wide, quiet evening darkens without haste Over a sea with death acquainted, yet forever chaste.",poem_sum:poemsum_train.csv:row_1013
Spare by Joanna Klink,"Shoulder me up. Drink careless down, for flinching ask, break, call skimming, be slight then, be soon. Would, wire air back to you, would. Would wind you still, lift clear to you sitting. Sheeted around you would care, could single you somehow, warm for floor- weight own hurt to you, sinking. Though your arms hold: just sun. I can't bring you. So tire to me quickly, dumb solving cushions. Would spare wrists to you, skimming. What sudden gives, what bent back look lifting (not my legs here on me, nor the still sitting). For glass bowl bent over caring. Keeps clear to tasting but warm to me, singing. What serves then slips (orange, cold-orange, cannot spare breaking). What shouldn't bend, what part offer, what fruit sweet to flinching. Though cold cancels can sit can reach. Does not know. But holds. But holds out, feeling.",poem_sum:poemsum_train.csv:row_1014
Bars Fight by Lucy Terry Prince,"August 'twas the twenty-fifth, Seventeen hundred forty-six; The Indians did in ambush lay, Some very valiant men to slay, The names of whom I'll not leave out. Samuel Allen like a hero fout, And though he was so brave and bold, His face no more shalt we behold Eteazer Hawks was killed outright, Before he had time to fight, - Before he did the Indians see, Was shot and killed immediately. Oliver Amsden he was slain, Which caused his friends much grief and pain. Simeon Amsden they found dead, Not many rods distant from his head. Adonijah Gillett we do hear Did lose his life which was so dear. John Sadler fled across the water, And thus escaped the dreadful slaughter. Eunice Allen see the Indians coming, And hopes to save herself by running, And had not her petticoats stopped her, The awful creatures had not catched her, Nor tommy hawked her on the head, And left her on the ground for dead. Young Samuel Allen, Oh lack-a-day! Was taken and carried to Canada.",poem_sum:poemsum_train.csv:row_1015
Inniskeen Road: July Evening by Patrick Kavanagh,"The bicycles go by in twos and threes - There's a dance in Billy Brennan's barn tonight, And there's the half-talk code of mysteries And the wink-and-elbow language of delight. Half-past eight and there is not a spot Upon a mile of road, no shadow thrown That might turn out a man or woman, not A footfall tapping secrecies of stone. I have what every poet hates in spite Of all the solemn talk of contemplation. Oh, Alexander Selkirk knew the plight Of being king and government and nation. A road, a mile of kingdom. I am king Of banks and stones and every blooming thing.",poem_sum:poemsum_train.csv:row_1016
Ode on the Death of a Favourite Cat Drowned in a Tub of Gold Fishes by Thomas Gray,"'Twas on a lofty vase's side, Where China's gayest art had dyed The azure flowers that blow; Demurest of the tabby kind, The pensive Selima, reclined, Gazed on the lake below. Her conscious tail her joy declared; The fair round face, the snowy beard, The velvet of her paws, Her coat, that with the tortoise vies, Her ears of jet, and emerald eyes, She saw; and purred applause. Still had she gazed; but 'midst the tide Two angel forms were seen to glide, The genii of the stream; Their scaly armour's Tyrian hue Through richest purple to the view Betrayed a golden gleam. The hapless nymph with wonder saw; A whisker first and then a claw, With many an ardent wish, She stretched in vain to reach the prize. What female heart can gold despise? What cat's averse to fish? Presumptuous maid! with looks intent Again she stretch'd, again she bent, Nor knew the gulf between. (Malignant Fate sat by, and smiled) The slippery verge her feet beguiled, She tumbled headlong in. Eight times emerging from the flood She mewed to every watery god, Some speedy aid to send. No dolphin came, no Nereid stirred; Nor cruel Tom, nor Susan heard; A Favourite has no friend! From hence, ye beauties, undeceived, Know, one false step is ne'er retrieved, And be with caution bold. Not all that tempts your wandering eyes And heedless hearts, is lawful prize; Nor all that glisters, gold.",poem_sum:poemsum_train.csv:row_1017
A Terre by Wilfred Owen,"Sit on the bed; I'm blind, and three parts shell. Be careful; can't shake hands now; never shall. Both arms have mutinied against me,--brutes. My fingers fidget like ten idle brats. I tried to peg out soldierly,--no use! One dies of war like any old disease. This bandage feels like pennies on my eyes. I have my medals?--Discs to make eyes close. My glorious ribbons?--Ripped from my own back In scarlet shreds. (That's for your poetry book.) A short life and a merry one, my buck! We used to say we'd hate to live dead-old,-- Yet now ... I'd willingly be puffy, bald, And patriotic. Buffers catch from boys At least the jokes hurled at them. I suppose Little I'd ever teach a son, but hitting, Shooting, war, hunting, all the arts of hurting. Well, that's what I learnt,--that, and making money. Your fifty years ahead seem none too many? Tell me how long I've got? God! For one year To help myself to nothing more than air! One Spring! Is one too good to spare, too long? Spring wind would work its own way to my lung, And grow me legs as quick as lilac-shoots. My servant's lamed, but listen how he shouts! When I'm lugged out, he'll still be good for that. Here in this mummy-case, you know, I've thought How well I might have swept his floors for ever. I'd ask no night off when the bustle's over, Enjoying so the dirt. Who's prejudiced Against a grimed hand when his own's quite dust, Less live than specks that in the sun-shafts turn, Less warm than dust that mixes with arms' tan? I'd love to be a sweep, now, black as Town, Yes, or a muckman. Must I be his load? O Life, Life, let me breathe,--a dug-out rat! Not worse than ours the lives rats lead-- Nosing along at night down some safe rut, They find a shell-proof home before they rot. Dead men may envy living mites in cheese, Or good germs even. Microbes have their joys, And subdivide, and never come to death. Certainly flowers have the easiest time on earth. ""I shall be one with nature, herb, and stone,"" Shelley would tell me. Shelley would be stunned: The dullest Tommy hugs that fancy now. ""Pushing up daisies,"" is their creed, you know. To grain, then, go my fat, to buds my sap, For all the usefulness there is in soap. D'you think the Boche will ever stew man-soup? Some day, no doubt, if ... Friend, be very sure I shall be better off with plants that share More peaceably the meadow and the shower. Soft rains will touch me,-- as they could touch once, And nothing but the sun shall make me ware. Your guns may crash around me. I'll not hear; Or, if I wince, I shall not know I wince. Don't take my soul's poor comfort for your jest. Soldiers may grow a soul when turned to fronds, But here the thing's best left at home with friends. My soul's a little grief, grappling your chest, To climb your throat on sobs; easily chased On other sighs and wiped by fresher winds. Carry my crying spirit till it's weaned To do without what blood remained these wounds.",poem_sum:poemsum_train.csv:row_1018
Buried Life by Matthew Arnold,"Light flows our war of mocking words, and yet, Behold, with tears mine eyes are wet! I feel a nameless sadness o'er me roll. Yes, yes, we know that we can jest, We know, we know that we can smile! But there's a something in this breast, To which thy light words bring no rest, And thy gay smiles no anodyne. Give me thy hand, and hush awhile, And turn those limpid eyes on mine, And let me read there, love! thy inmost soul. Alas! is even love too weak To unlock the heart, and let it speak? Are even lovers powerless to reveal To one another what indeed they feel? I knew the mass of men conceal'd Their thoughts, for fear that if reveal'd They would by other men be met With blank indifference, or with blame reproved; I knew they lived and moved Trick'd in disguises, alien to the rest Of men, and alien to themselves--and yet The same heart beats in every human breast! But we, my love!--doth a like spell benumb Our hearts, our voices?--must we too be dumb? Ah! well for us, if even we, Even for a moment, can get free Our heart, and have our lips unchain'd; For that which seals them hath been deep-ordain'd! Fate, which foresaw How frivolous a baby man would be-- By what distractions he would be possess'd, How he would pour himself in every strife, And well-nigh change his own identity-- That it might keep from his capricious play His genuine self, and force him to obey Even in his own despite his being's law, Bade through the deep recesses of our breast The unregarded river of our life Pursue with indiscernible flow its way; And that we should not see The buried stream, and seem to be Eddying at large in blind uncertainty, Though driving on with it eternally. But often, in the world's most crowded streets, But often, in the din of strife, There rises an unspeakable desire After the knowledge of our buried life; A thirst to spend our fire and restless force In tracking out our true, original course; A longing to inquire Into the mystery of this heart which beats So wild, so deep in us--to know Whence our lives come and where they go. And many a man in his own breast then delves, But deep enough, alas! none ever mines. And we have been on many thousand lines, And we have shown, on each, spirit and power; But hardly have we, for one little hour, Been on our own line, have we been ourselves-- Hardly had skill to utter one of all The nameless feelings that course through our breast, But they course on for ever unexpress'd. And long we try in vain to speak and act Our hidden self, and what we say and do Is eloquent, is well--but 't is not true! And then we will no more be rack'd With inward striving, and demand Of all the thousand nothings of the hour Their stupefying power; Ah yes, and they benumb us at our call! Yet still, from time to time, vague and forlorn, From the soul's subterranean depth upborne As from an infinitely distant land, Come airs, and floating echoes, and convey A melancholy into all our day. Only--but this is rare-- When a beloved hand is laid in ours, When, jaded with the rush and glare Of the interminable hours, Our eyes can in another's eyes read clear, When our world-deafen'd ear Is by the tones of a loved voice caress'd-- A bolt is shot back somewhere in our breast, And a lost pulse of feeling stirs again. The eye sinks inward, and the heart lies plain, And what we mean, we say, and what we would, we know. A man becomes aware of his life's flow, And hears its winding murmur; and he sees The meadows where it glides, the sun, the breeze. And there arrives a lull in the hot race Wherein he doth for ever chase That flying and elusive shadow, rest. An air of coolness plays upon his face, And an unwonted calm pervades his breast. And then he thinks he knows The hills where his life rose, And the sea where it goes.",poem_sum:poemsum_train.csv:row_1019
Smell is the Last Memory to Go by Fatimah Asghar,"on my block, a gate on my block, a tree smelling of citrus & jasmine that knocks me back into the arms of my dead mother. i ask Ross how can a tree be both jasmine & orange, on my block my neighbors put up gates & stare don't like to share, on my block a tree I can't see, but can smell a tree that can't be both but is on my block, my mother's skirt twirls & all i smell is her ghost, perfume on my block, a fallen orange smashed into sidewalk its blood pulped on asphalt on my block, Jordan hands me a jasmine by the time i get home all its petals are gone",poem_sum:poemsum_train.csv:row_1020
Sorrow by Edna St. Vincent Millay,"Sorrow like a ceaseless rain Beats upon my heart. People twist and scream in pain, -- Dawn will find them still again; This has neither wax nor wane, Neither stop nor start. People dress and go to town; I sit in my chair. All my thoughts are slow and brown: Standing up or sitting down Little matters, or what gown Or what shoes I wear.",poem_sum:poemsum_train.csv:row_1021
