index,id,name_of_work,content,source
1939,45659,VIST Story 45659,even the individual petals make a great photograph .,vist
1940,45581,VIST Story 45581,this was the first time i ever got to hold a crab .,vist
1941,poem_sum:poemsum_train.csv:540,"To BRYANT, the Poet of Nature by Walt Whitman","Let Glory diadem the mighty dead—
Let monuments of brass and marble rise
To those who have upon our being shed
A golden halo, borrowed from the skies,
And given to time its most enduring prize;
For they but little less than angels were:
But not to thee, oh! nature's OWN, we should
(When from this clod the minstrel-soul aspires
And joins the glorious band of purer lyres)
Tall columns build: thy monument is here—
For ever fixed in its eternity—
A monument God-built! 'Tis seen around—
In mountains huge and many gliding streams—
Where'er the torrent lifts a melancholy sound,
Or modest flower in broad savannah gleams.",poem_sum
1942,poem_sum:poemsum_train.csv:309,Home by Edward Thomas,"Often I had gone this way before:
But now it seemed I never could be
And never had been anywhere else;
'Twas home; one nationality
We had, I and the birds that sang,
One memory.
 
They welcomed me. I had come back
That eve somehow from somewhere far:
The April mist, the chill, the calm,
Meant the same thing familiar
And pleasant to us, and strange too,
Yet with no bar.
 
The thrush on the oaktop in the lane
Sang his last song, or last but one;
And as he ended, on the elm
Another had but just begun
His last; they knew no more than I
The day was done.
 
Then past his dark white cottage front
A labourer went along, his tread
Slow, half with weariness, half with ease;
And, through the silence, from his shed
The sound of sawing rounded all
That silence said.",poem_sum
1943,poem_sum:poemsum_train.csv:461,Chrysalis by LJ Bovey – A Poem about Coronavirus/Covid-19 and Lockdown,"Corona used to be just the name of a beer
I’d have a few
Twice a year
On the odd occasion I’d go out
I wish I could go outCovid is not a word we’d be familiar with
Before all this
Before queues outside Tesco’s, two metres between us
Before we stocked up on toilet rolls
Before pasta became platinum
Before the lower class got hooked on quinoa
But they knew what baked beans were
They assumed it was pronounced Quinn Noah
And I know a social commentary
And pedantry
Seems unpleasant of me
But I have to confess to you
I pronounced it that way too.
 

Every lunch time packets soups
4 nights of stew
Britons doing, what Britons do

 

When reduced to our core
Whether rich or poor
We are better with,
Our backs t’wall

 

Our leader has this plague
And our future heir too
So we respond with funny memes
After all, it’s just a flu

 

We point to facts and figures
That help support our claims
We rationalise, our social lives
Our going to our mates

 

We need to come together
And join in staying apart
And though we can’t link arms
We can carry love in hearts

 

So, Facebook take the stage
Your time is now, as social distance grows
From reaching out to, Bev from work
Or chatting to our folks
In the past you have been divisive
Your popularity divided us
And now quarantine divides us
In social media we trust?
If we must

 

So we quell our party spirit
And dust off that guitar
Download the Duolingo
Doesn’t matter where we are
We are here now for weeks
It could be far more
This virus knows no class divide
Between the rich,
The poor

 

Don’t view this isolation
As being in a cell
It’s a chrysalis and we’re out of hell
We will be better
We will appreciate more
All we had and couldn’t see before.",poem_sum
1944,45697,VIST Story 45697,the flags waved too .,vist
1945,poem_sum:poemsum_train.csv:249,To you by Kenneth Koch,"I love you as a sheriff searches for a walnut
That will solve a murder case unsolved for years
Because the murderer left it in the snow beside a window
Through which he saw her head, connecting with
Her shoulders by a neck, and laid a red
Roof in her heart. For this we live a thousand years;
For this we love, and we live because we love, we are not
Inside a bottle, thank goodness! I love you as a
Kid searches for a goat; I am crazier than shirttails
In the wind, when you’re near, a wind that blows from
The big blue sea, so shiny so deep and so unlike us;
I think I am bicycling across an Africa of green and white fields
Always, to be near you, even in my heart
When I’m awake, which swims, and also I believe that you
Are trustworthy as the sidewalk which leads me to
The place where I again think of you, a new
Harmony of thoughts! I love you as the sunlight leads the prow
Of a ship which sails
From Hartford to Miami, and I love you
Best at dawn, when even before I am awake the sun
Receives me in the questions which you always pose.",poem_sum
1946,45698,VIST Story 45698,"there are those who serve our country , and the crowds cheer .",vist
1947,45745,VIST Story 45745,my friend [male] showed up ! he 's so determined . go [male] ! !,vist
1948,poem_sum:poemsum_train.csv:1234,The Garden of Eros by Oscar Wilde,"It is full summer now, the heart of June;
Not yet the sunburnt reapers are astir
Upon the upland meadow where too soon
Rich autumn time, the season's usurer,
Will lend his hoarded gold to all the trees,
And see his treasure scattered by the wild and spendthrift breeze.

Too soon indeed! yet here the daffodil,
That love-child of the Spring, has lingered on
To vex the rose with jealousy, and still
The harebell spreads her azure pavilion,
And like a strayed and wandering reveller
Abandoned of its brothers, whom long since June's messenger

The missel-thrush has frighted from the glade,
One pale narcissus loiters fearfully
Close to a shadowy nook, where half afraid
Of their own loveliness some violets lie
That will not look the gold sun in the face
For fear of too much splendour, - ah! methinks it is a place

Which should be trodden by Persephone
When wearied of the flowerless fields of Dis!
Or danced on by the lads of Arcady!
The hidden secret of eternal bliss
Known to the Grecian here a man might find,
Ah! you and I may find it now if Love and Sleep be kind.

There are the flowers which mourning Herakles
Strewed on the tomb of Hylas, columbine,
Its white doves all a-flutter where the breeze
Kissed them too harshly, the small celandine,
That yellow-kirtled chorister of eve,
And lilac lady's-smock, - but let them bloom alone, and leave

Yon spired hollyhock red-crocketed
To sway its silent chimes, else must the bee,
Its little bellringer, go seek instead
Some other pleasaunce; the anemone
That weeps at daybreak, like a silly girl
Before her love, and hardly lets the butterflies unfurl

Their painted wings beside it, - bid it pine
In pale virginity; the winter snow
Will suit it better than those lips of thine
Whose fires would but scorch it, rather go
And pluck that amorous flower which blooms alone,
Fed by the pander wind with dust of kisses not its own.

The trumpet-mouths of red convolvulus
So dear to maidens, creamy meadow-sweet
Whiter than Juno's throat and odorous
As all Arabia, hyacinths the feet
Of Huntress Dian would be loth to mar
For any dappled fawn, - pluck these, and those fond flowers which are

Fairer than what Queen Venus trod upon
Beneath the pines of Ida, eucharis,
That morning star which does not dread the sun,
And budding marjoram which but to kiss
Would sweeten Cytheraea's lips and make
Adonis jealous, - these for thy head, - and for thy girdle take

Yon curving spray of purple clematis
Whose gorgeous dye outflames the Tyrian King,
And foxgloves with their nodding chalices,
But that one narciss which the startled Spring
Let from her kirtle fall when first she heard
In her own woods the wild tempestuous song of summer's bird,

Ah! leave it for a subtle memory
Of those sweet tremulous days of rain and sun,
When April laughed between her tears to see
The early primrose with shy footsteps run
From the gnarled oak-tree roots till all the wold,
Spite of its brown and trampled leaves, grew bright with shimmering gold.

Nay, pluck it too, it is not half so sweet
As thou thyself, my soul's idolatry!
And when thou art a-wearied at thy feet
Shall oxlips weave their brightest tapestry,
For thee the woodbine shall forget its pride
And veil its tangled whorls, and thou shalt walk on daisies pied.

And I will cut a reed by yonder spring
And make the wood-gods jealous, and old Pan
Wonder what young intruder dares to sing
In these still haunts, where never foot of man
Should tread at evening, lest he chance to spy
The marble limbs of Artemis and all her company.

And I will tell thee why the jacinth wears
Such dread embroidery of dolorous moan,
And why the hapless nightingale forbears
To sing her song at noon, but weeps alone
When the fleet swallow sleeps, and rich men feast,
And why the laurel trembles when she sees the lightening east.

And I will sing how sad Proserpina
Unto a grave and gloomy Lord was wed,
And lure the silver-breasted Helena
Back from the lotus meadows of the dead,
So shalt thou see that awful loveliness
For which two mighty Hosts met fearfully in war's abyss!

And then I'll pipe to thee that Grecian tale
How Cynthia loves the lad Endymion,
And hidden in a grey and misty veil
Hies to the cliffs of Latmos once the Sun
Leaps from his ocean bed in fruitless chase
Of those pale flying feet which fade away in his embrace.

And if my flute can breathe sweet melody,
We may behold Her face who long ago
Dwelt among men by the AEgean sea,
And whose sad house with pillaged portico
And friezeless wall and columns toppled down
Looms o'er the ruins of that fair and violet cinctured town.

Spirit of Beauty! tarry still awhile,
They are not dead, thine ancient votaries;
Some few there are to whom thy radiant smile
Is better than a thousand victories,
Though all the nobly slain of Waterloo
Rise up in wrath against them! tarry still, there are a few

Who for thy sake would give their manlihood
And consecrate their being; I at least
Have done so, made thy lips my daily food,
And in thy temples found a goodlier feast
Than this starved age can give me, spite of all
Its new-found creeds so sceptical and so dogmatical.

Here not Cephissos, not Ilissos flows,
The woods of white Colonos are not here,
On our bleak hills the olive never blows,
No simple priest conducts his lowing steer
Up the steep marble way, nor through the town
Do laughing maidens bear to thee the crocus-flowered gown.

Yet tarry! for the boy who loved thee best,
Whose very name should be a memory
To make thee linger, sleeps in silent rest
Beneath the Roman walls, and melody
Still mourns her sweetest lyre; none can play
The lute of Adonais: with his lips Song passed away.

Nay, when Keats died the Muses still had left
One silver voice to sing his threnody,
But ah! too soon of it we were bereft
When on that riven night and stormy sea
Panthea claimed her singer as her own,
And slew the mouth that praised her; since which time we walk alone,

Save for that fiery heart, that morning star
Of re-arisen England, whose clear eye
Saw from our tottering throne and waste of war
The grand Greek limbs of young Democracy
Rise mightily like Hesperus and bring
The great Republic! him at least thy love hath taught to sing,

And he hath been with thee at Thessaly,
And seen white Atalanta fleet of foot
In passionless and fierce virginity
Hunting the tusked boar, his honied lute
Hath pierced the cavern of the hollow hill,
And Venus laughs to know one knee will bow before her still.

And he hath kissed the lips of Proserpine,
And sung the Galilaean's requiem,
That wounded forehead dashed with blood and wine
He hath discrowned, the Ancient Gods in him
Have found their last, most ardent worshipper,
And the new Sign grows grey and dim before its conqueror.

Spirit of Beauty! tarry with us still,
It is not quenched the torch of poesy,
The star that shook above the Eastern hill
Holds unassailed its argent armoury
From all the gathering gloom and fretful fight -
O tarry with us still! for through the long and common night,

Morris, our sweet and simple Chaucer's child,
Dear heritor of Spenser's tuneful reed,
With soft and sylvan pipe has oft beguiled
The weary soul of man in troublous need,
And from the far and flowerless fields of ice
Has brought fair flowers to make an earthly paradise.

We know them all, Gudrun the strong men's bride,
Aslaug and Olafson we know them all,
How giant Grettir fought and Sigurd died,
And what enchantment held the king in thrall
When lonely Brynhild wrestled with the powers
That war against all passion, ah! how oft through summer hours,

Long listless summer hours when the noon
Being enamoured of a damask rose
Forgets to journey westward, till the moon
The pale usurper of its tribute grows
From a thin sickle to a silver shield
And chides its loitering car - how oft, in some cool grassy field

Far from the cricket-ground and noisy eight,
At Bagley, where the rustling bluebells come
Almost before the blackbird finds a mate
And overstay the swallow, and the hum
Of many murmuring bees flits through the leaves,
Have I lain poring on the dreamy tales his fancy weaves,

And through their unreal woes and mimic pain
Wept for myself, and so was purified,
And in their simple mirth grew glad again;
For as I sailed upon that pictured tide
The strength and splendour of the storm was mine
Without the storm's red ruin, for the singer is divine;

The little laugh of water falling down
Is not so musical, the clammy gold
Close hoarded in the tiny waxen town
Has less of sweetness in it, and the old
Half-withered reeds that waved in Arcady
Touched by his lips break forth again to fresher harmony.

Spirit of Beauty, tarry yet awhile!
Although the cheating merchants of the mart
With iron roads profane our lovely isle,
And break on whirling wheels the limbs of Art,
Ay! though the crowded factories beget
The blindworm Ignorance that slays the soul, O tarry yet!

For One at least there is, - He bears his name
From Dante and the seraph Gabriel, -
Whose double laurels burn with deathless flame
To light thine altar; He too loves thee well,
Who saw old Merlin lured in Vivien's snare,
And the white feet of angels coming down the golden stair,

Loves thee so well, that all the World for him
A gorgeous-coloured vestiture must wear,
And Sorrow take a purple diadem,
Or else be no more Sorrow, and Despair
Gild its own thorns, and Pain, like Adon, be
Even in anguish beautiful; - such is the empery

Which Painters hold, and such the heritage
This gentle solemn Spirit doth possess,
Being a better mirror of his age
In all his pity, love, and weariness,
Than those who can but copy common things,
And leave the Soul unpainted with its mighty questionings.

But they are few, and all romance has flown,
And men can prophesy about the sun,
And lecture on his arrows - how, alone,
Through a waste void the soulless atoms run,
How from each tree its weeping nymph has fled,
And that no more 'mid English reeds a Naiad shows her head.

Methinks these new Actaeons boast too soon
That they have spied on beauty; what if we
Have analysed the rainbow, robbed the moon
Of her most ancient, chastest mystery,
Shall I, the last Endymion, lose all hope
Because rude eyes peer at my mistress through a telescope!

What profit if this scientific age
Burst through our gates with all its retinue
Of modern miracles! Can it assuage
One lover's breaking heart? what can it do
To make one life more beautiful, one day
More godlike in its period? but now the Age of Clay

Returns in horrid cycle, and the earth
Hath borne again a noisy progeny
Of ignorant Titans, whose ungodly birth
Hurls them against the august hierarchy
Which sat upon Olympus; to the Dust
They have appealed, and to that barren arbiter they must

Repair for judgment; let them, if they can,
From Natural Warfare and insensate Chance,
Create the new Ideal rule for man!
Methinks that was not my inheritance;
For I was nurtured otherwise, my soul
Passes from higher heights of life to a more supreme goal.

Lo! while we spake the earth did turn away
Her visage from the God, and Hecate's boat
Rose silver-laden, till the jealous day
Blew all its torches out: I did not note
The waning hours, to young Endymions
Time's palsied fingers count in vain his rosary of suns!

Mark how the yellow iris wearily
Leans back its throat, as though it would be kissed
By its false chamberer, the dragon-fly,
Who, like a blue vein on a girl's white wrist,
Sleeps on that snowy primrose of the night,
Which 'gins to flush with crimson shame, and die beneath the light.

Come let us go, against the pallid shield
Of the wan sky the almond blossoms gleam,
The corncrake nested in the unmown field
Answers its mate, across the misty stream
On fitful wing the startled curlews fly,
And in his sedgy bed the lark, for joy that Day is nigh,

Scatters the pearled dew from off the grass,
In tremulous ecstasy to greet the sun,
Who soon in gilded panoply will pass
Forth from yon orange-curtained pavilion
Hung in the burning east: see, the red rim
O'ertops the expectant hills! it is the God! for love of him

Already the shrill lark is out of sight,
Flooding with waves of song this silent dell, -
Ah! there is something more in that bird's flight
Than could be tested in a crucible! -
But the air freshens, let us go, why soon
The woodmen will be here; how we have lived this night of June!",poem_sum
1949,45824,VIST Story 45824,they were helping prepare to paint .,vist
1950,poem_sum:poemsum_train.csv:294,Rhyme of the Dead Self by A.R.D. Fairburn,"Tonight I have taken all that I was
and strangled him pale that lily white lad.
I have choked him with these my hands these claws
catching him as he lay a-dreaming in his bed.
Then chuckling I dragged out his foolish brains
that were full of pretty love-tales heighho the holly.
And emptied them holus bolus to the drains
those dreams of love oh what ruinous folly.
He is dead pale youth and he shall not rise
on the third day or any other day
sloughed like a snakeskin there he lies
and he shall not trouble me again for aye.",poem_sum
1951,45937,VIST Story 45937,ooh cake . how did they make a flag on each slice ? awesome !,vist
1952,poem_sum:poemsum_train.csv:713,Alice the Camel,"Alice the camel has five humps.
Alice the camel has five humps.
Alice the camel has five humps.
So go, Alice, go!
Boom, boom, boom, boom!

Alice the camel has four humps.
Alice the camel has four humps.
Alice the camel has four humps.
So go, Alice, go!
Boom, boom, boom, boom!

Alice the camel has three humps.
Alice the camel has three humps.
Alice the camel has three humps.
So go, Alice, go!
Boom, boom, boom, boom!

Alice the camel has two humps.
Alice the camel has two humps.
Alice the camel has two humps.
So go, Alice, go!
Boom, boom, boom, boom!

Alice the camel has one hump.
Alice the camel has one hump.
Alice the camel has one hump.
So go, Alice, go!
Boom, boom, boom, boom!

Alice the camel has no humps.
Alice the camel has no humps.
Alice the camel has no humps.
‘Cause Alice is a horse, of course!",poem_sum
1953,poem_sum:poemsum_train.csv:130,Portrait d’une Femme by Ezra Pound,"Your mind and you are our Sargasso Sea,
London has swept about you this score years
And bright ships left you this or that in fee:
Ideas, old gossip, oddments of all things,
Strange spars of knowledge and dimmed wares of price.
Great minds have sought you — lacking someone else.
You have been second always. Tragical?
No. You preferred it to the usual thing:
One dull man, dulling and uxorious,
One average mind — with one thought less, each year.
Oh, you are patient, I have seen you sit
Hours, where something might have floated up.
And now you pay one. Yes, you richly pay.
You are a person of some interest, one comes to you
And takes strange gain away:
Trophies fished up; some curious suggestion;
Fact that leads nowhere; and a tale for two,
Pregnant with mandrakes, or with something else
That might prove useful and yet never proves,
That never fits a corner or shows use,
Or finds its hour upon the loom of days:
The tarnished, gaudy, wonderful old work;
Idols and ambergris and rare inlays,
These are your riches, your great store; and yet
For all this sea-hoard of deciduous things,
Strange woods half sodden, and new brighter stuff:
In the slow float of differing light and deep,
No! there is nothing! In the whole and all,
Nothing that's quite your own.
Yet this is you.",poem_sum
1954,45565,VIST Story 45565,we all piled on for a great conversation and had a few drinks .,vist
1955,poem_sum:poemsum_train.csv:33,"To Althea, from Prison by Richard Lovelace","When Love with unconfinèd wings
Hovers within my Gates,
And my divine Althea brings
To whisper at the Grates;
When I lie tangled in her hair,
And fettered to her eye,
The Gods that wanton in the Air,
Know no such Liberty.

When flowing Cups run swiftly round
With no allaying Thames,
Our careless heads with Roses bound,
Our hearts with Loyal Flames;
When thirsty grief in Wine we steep,
When Healths and draughts go free,
Fishes that tipple in the Deep
Know no such Liberty.

When (like committed linnets) I
With shriller throat shall sing
The sweetness, Mercy, Majesty,
And glories of my King;
When I shall voice aloud how good
He is, how Great should be,
Enlargèd Winds, that curl the Flood,
Know no such Liberty.

Stone Walls do not a Prison make,
Nor Iron bars a Cage;
Minds innocent and quiet take
That for an Hermitage.
If I have freedom in my Love,
And in my soul am free,
Angels alone that soar above,
Enjoy such Liberty.",poem_sum
1956,poem_sum:poemsum_train.csv:1352,Upon Julia’s Clothes by Robert Herrick,"Whenas in silks my Julia goes,
Then, then (methinks) how sweetly flows
That liquefaction of her clothes.

Next, when I cast mine eyes, and see
That brave vibration each way free,
O how that glittering taketh me!",poem_sum
1957,45583,VIST Story 45583,their dad is there ring leader .,vist
1958,45755,VIST Story 45755,can not call it a day without one more picture of the snow covered mountains !,vist
1959,poem_sum:poemsum_train.csv:51,How to Eat a Poem by Eve Merriam,"Don't be polite.
Bite in.
Pick it up with your fingers and lick the juice that
may run down your chin.
It is ready and ripe now, whenever you are.
You do not need a knife or fork or spoon
or plate or napkin or tablecloth.

For there is no core
or stem
or rind
or pit
or seed
or skin
to throw away.",poem_sum
1960,poem_sum:poemsum_train.csv:169,Gale in April by Robinson Jeffers,"Intense and terrible beauty, how has our race with the frail naked nerves,
So little a craft swum down from its far launching?
Why now, only because the northwest blows and the headed grass billows,
Great seas jagging the west and on the granite
Blanching, the vessel is brimmed, this dancing play of the world is too much passion.
A gale in April so overfilling the spirit,
Though his ribs were thick as the earth's, arches of mountain, how shall one dare to live,
Though his blood were like the earth's rivers and his flesh iron,
How shall one dare to live? One is born strong, how do the weak endure it?
The strong lean upon death as on a rock,
After eighty years there is shelter and the naked nerves shall be covered with deep quietness,
O beauty of things go on, go on, O torture
Of intense joy I have lasted out my time. I have thanked God and finished,
Roots of millennial trees fold me in the darkness,
Northwest wind shake their tops, not to the root, not to the root, I have passed
From beauty to the other beauty, peace, the night splendor.",poem_sum
1961,poem_sum:poemsum_train.csv:602,Rosa Parks by Nikki Giovanni,"This is for the Pullman Porters who organized when people said
they couldn’t. And carried the Pittsburgh Courier and the Chicago
Defender to the Black Americans in the South so they would
know they were not alone. This is for the Pullman Porters who
helped Thurgood Marshall go south and come back north to fight
the fight that resulted in Brown v. Board of Education because
even though Kansas is west and even though Topeka is the birth-
place of Gwendolyn Brooks, who wrote the powerful “The
Chicago Defender Sends a Man to Little Rock,” it was the
Pullman Porters who whispered to the traveling men both
the Blues Men and the “Race” Men so that they both would
know what was going on. This is for the Pullman Porters who
smiled as if they were happy and laughed like they were tickled
when some folks were around and who silently rejoiced in 1954
when the Supreme Court announced its 9—0 decision that “sepa-
rate is inherently unequal.” This is for the Pullman Porters who
smiled and welcomed a fourteen-year-old boy onto their train in
1955. They noticed his slight limp that he tried to disguise with a
doo-wop walk; they noticed his stutter and probably understood
why his mother wanted him out of Chicago during the summer
when school was out. Fourteen-year-old Black boys with limps
and stutters are apt to try to prove themselves in dangerous ways
when mothers aren’t around to look after them. So this is for the
Pullman Porters who looked over that fourteen-year-old while
the train rolled the reverse of the Blues Highway from Chicago to
St. Louis to Memphis to Mississippi. This is for the men who kept
him safe; and if Emmett Till had been able to stay on a train all
summer he would have maybe grown a bit of a paunch, certainly
lost his hair, probably have worn bifocals and bounced his grand-
children on his knee telling them about his summer riding the
rails. But he had to get off the train. And ended up in Money,
Mississippi. And was horribly, brutally, inexcusably, and unac-
ceptably murdered. This is for the Pullman Porters who, when the
sheriff was trying to get the body secretly buried, got Emmett’s
body on the northbound train, got his body home to Chicago,
where his mother said: I want the world to see what they did
to my boy. And this is for all the mothers who cried. And this is
for all the people who said Never Again. And this is about Rosa
Parks whose feet were not so tired, it had been, after all, an ordi-
nary day, until the bus driver gave her the opportunity to make
history. This is about Mrs. Rosa Parks from Tuskegee, Alabama,
who was also the field secretary of the NAACP. This is about the
moment Rosa Parks shouldered her cross, put her worldly goods
aside, was willing to sacrifice her life, so that that young man in
Money, Mississippi, who had been so well protected by the
Pullman Porters, would not have died in vain. When Mrs. Parks
said “NO” a passionate movement was begun. No longer would
there be a reliance on the law; there was a higher law. When Mrs.
Parks brought that light of hers to expose the evil of the system,
the sun came and rested on her shoulders bringing the heat and
the light of truth. Others would follow Mrs. Parks. Four young
men in Greensboro, North Carolina, would also say No. Great
voices would be raised singing the praises of God and exhorting
us “to forgive those who trespass against us.” But it was the
Pullman Porters who safely got Emmett to his granduncle and it
was Mrs. Rosa Parks who could not stand that death. And in not
being able to stand it. She sat back down.",poem_sum
1962,poem_sum:poemsum_train.csv:230,Whispers of Immortality by T.S. Eliot,"Webster was much possessed by death
And saw the skull beneath the skin;
And breastless creatures under ground
Leaned backward with a lipless grin.
Daffodil bulbs instead of balls
Stared from the sockets of the eyes!
He knew that thought clings round dead limbs
Tightening its lusts and luxuries.
Donne, I suppose, was such another
Who found no substitute for sense,
To seize and clutch and penetrate;
Expert beyond experience,
He knew the anguish of the marrow
The ague of the skeleton;
No contact possible to flesh
Allayed the fever of the bone.
. . . . .
Grishkin is nice: her Russian eye
Is underlined for emphasis;
Uncorseted, her friendly bust
Gives promise of pneumatic bliss.
The couched Brazilian jaguar
Compels the scampering marmoset
With subtle effluence of cat;
Grishkin has a maisonnette;
The sleek Brazilian jaguar
Does not in its arboreal gloom
Distil so rank a feline smell
As Grishkin in a drawing-room.
And even the Abstract Entities
Circumambulate her charm;
But our lot crawls between dry ribs
To keep our metaphysics warm.",poem_sum
1963,45756,VIST Story 45756,he felt it refreshing to walk on the trails alone and capture moments in photography .,vist
1964,45984,VIST Story 45984,"there were some fancy fireworks , containing multiple colors and patterns .",vist
1965,poem_sum:poemsum_train.csv:459,Sonnet 8 by Elizabeth Barrett Browning,"What can I give thee back, O liberal
And princely giver, who hast brought the gold
And purple of thine heart, unstained, untold,
And laid them on the outside of the wall
For such as I to take or leave withal,
In unexpected largesse? am I cold,
Ungrateful, that for these most manifold
High gifts, I render nothing back at all?
Not so; not cold, — but very poor instead.
Ask God who knows. For frequent tears have run
The colors from my life, and left so dead
And pale a stuff, it were not fitly done
To give the same as pillow to thy head.
Go farther! let it serve to trample on.",poem_sum
1966,45732,VIST Story 45732,it 's awesome enough that it has a buffalo statue out front .,vist
1967,46016,VIST Story 46016,suddenly a white car going about 100 miles an hour zips right past the roadblock .,vist
1968,45626,VIST Story 45626,we met up with our friend before going home to eat .,vist
1969,poem_sum:poemsum_train.csv:1114,My Boy the Hero by James Khan,"My boy, the hero played his part, Upon his sleeve; his stripes, his heart And when they marched out on parade My boy, the hero played,

A patriot like Churchill's own, He fought the fight and bought it home And in the band to serenade My boy, the hero played,

But now the anchor left its mark, Marooned, my son, his outlook dark And plucked like fiddles, strings all frayed- My boy, the hero played,

The hauntings of a ghost within The shell that holds his mortal sin The game of life, a live grenade- My boy, the hero played.",poem_sum
1970,45854,VIST Story 45854,however the other side was n't willing to help them with their problem .,vist
1971,poem_sum:poemsum_train.csv:547,Poverty by Marinela Reka,"Their smiles: sincere like angles
Their hearts: scarred forever more
Was this their fate, or our greed?
A question asked, but we ignore
Born into tragedy, they can’t escape
No opportunities for them to try
Suffering, hurting more every day
But we sit back and let it go by
Shattered homes; desperate for shelter
Poor conditions, its help they need
They want to be healthy and joyful
They want a better life to lead
Time is a fragile element for them
It can smash completely unplanned
You can help them, we all can!
Their future lies in your hand",poem_sum
1972,poem_sum:poemsum_train.csv:119,Crows in a Strong Wind by Cornelius Eady,"Off go the crows from the roof.
The crows can’t hold on.
They might as well
Be perched on an oil slick.
Such an awkward dance,
These gentlemen
In their spottled-black coats.
Such a tipsy dance,
As if they didn’t know where they were.
Such a humorous dance,
As they try to set things right,
As the wind reduces them.
Such a sorrowful dance.
How embarrassing is love
When it goes wrong
In front of everyone.",poem_sum
1973,45621,VIST Story 45621,"we spent the rest of the day on the water , it was a great day !",vist
1974,45738,VIST Story 45738,i was so styling my curlers . `` do n't look at me i 'm hideous ! '' i cried my lines .,vist
1975,45979,VIST Story 45979,some people showed up with musical instruments to enforce their message .,vist
1976,45855,VIST Story 45855,need to have a snack before setting out to explore .,vist
1977,45601,VIST Story 45601,something funny is going on .,vist
1978,45791,VIST Story 45791,the star was believable .,vist
1979,46029,VIST Story 46029,there was a sad man out and about that touched my heart .,vist
1980,45910,VIST Story 45910,she started to hang the signs .,vist
1981,45983,VIST Story 45983,quite a crowd has gathered at the start of the display .,vist
1982,45821,VIST Story 45821,soldiers spend time painting and culking .,vist
1983,46006,VIST Story 46006,we put an empty coffin to represent all of those who recently passed away,vist
1984,45878,VIST Story 45878,"and , [male] grabbed the baton and was off !",vist
1985,45652,VIST Story 45652,"overall we had a great day at the game , here is the last picture on the field before we left .",vist
1986,45895,VIST Story 45895,then i study in the park .,vist
1987,45648,VIST Story 45648,we decided to leave but our path was blocked by a zebra .,vist
1988,45752,VIST Story 45752,the boys enjoyed working together and took turns making sure they could sit in the box .,vist
1989,poem_sum:poemsum_train.csv:39,Shadwell Stair by Wilfred Owen,"I am the ghost of Shadwell Stair.
Along the wharves by the water-house,
And through the cavernous slaughter-house,
I am the shadow that walks there.
Yet I have flesh both firm and cool,
And eyes tumultuous as the gems
Of moons and lamps in the full Thames
When dusk sails wavering down the pool.
Shuddering the purple street-arc burns
Where I watch always; from the banks
Dolorously the shipping clanks
And after me a strange tide turns.
I walk till the stars of London wane
And dawn creeps up the Shadwell Stair.
But when the crowing syrens blare
I with another ghost am lain.",poem_sum
1990,poem_sum:poemsum_train.csv:79,Dreams by Helen Hunt Jackson,"I dreamed that I ws dead and crossed the heavens,--
Heavens after heavens with burning feet and swift,--
And cried: ""O God, where art Thou?"" I left one
On earth, whose burden I would pray Thee lift.""

I was so dead I wondered at no thing,--
Not even that the angels slowly turned
Their faces, speechless, as I hurried by
(Beneath my feet the golden pavements burned);

Nor, at the first, that I could not find God,
Because the heavens stretched endlessly like space.
At last a terror siezed my very soul;
I seemed alone in all the crowded place.

Then, sudden, one compassionate cried out,
Though like the rest his face from me he turned,
As I were one no angel might regard
(Beneath my feet the golden pavements burned):

""No moew in heaven than earth will he find God
Who does not know his loving mercy swift
But waits the moment consummate and ripe,
Each burden, from each human soul to lift.""

Though I was dead, I died again for shame;
Lonely, to flee from heaven again I turned;
The ranks of angels looked away from me
(Beneath my feet the golden pavements burned)",poem_sum
1991,poem_sum:poemsum_train.csv:703,My life has been the poem I would have writ by Henry David Thoreau,"My life has been the poem I would have writ
But I could not both live and utter it.",poem_sum
1992,poem_sum:poemsum_train.csv:554,Cross by Langston Hughes,"My old man’s a white old man
And my old mother’s black.
If ever I cursed my white old man
I take my curses back.
If ever I cursed my black old mother
And wished she were in hell,
I’m sorry for that evil wish
And now I wish her well.
My old man died in a fine big house.
My ma died in a shack.
I wonder where I’m gonna die,
Being neither white nor black?",poem_sum
1993,45803,VIST Story 45803,the music helps to entertain all in attenadance,vist
1994,45660,VIST Story 45660,"in the end some guy that we did n't even know ended up beating us both somehow , i am guessing doping was involved somehow .",vist
1995,45876,VIST Story 45876,everyone worked hard for this moment and tried to take first place .,vist
1996,45926,VIST Story 45926,they covered their ears to protect them from the loud noises .,vist
1997,46022,VIST Story 46022,nearby another camera man shoots his camera from a different angle .,vist
1998,46008,VIST Story 46008,there was also a coffin in the middle of the road .,vist
1999,45973,VIST Story 45973,"while everyone else was busy doing all kinds of activities , the baby spent a lot of time sleeping .",vist
